Biomarker,Level,Quartile,Tumor_type
CA-125 ★,4.9879999999999995,Q2,Lung
CA-125 ★,8.23,Q3,Lung
CA-125 ★,4.962,Q2,Normal
CA-125 ★,4.998,Q3,Normal
CA-125 ★,155.36,Q2,Ovary
CA-125 ★,486.2925,Q3,Ovary
CA-125 ★,8.29,Q2,Pancreas
CA-125 ★,19.2,Q3,Pancreas
CA-125 ★,5.285,Q2,Stomach
CA-125 ★,8.86,Q3,Stomach
CA19-9 ★,16.53,Q2,Breast
CA19-9 ★,17.87,Q3,Breast
CA19-9 ★,16.536,Q2,Colorectum
CA19-9 ★,17.740000000000002,Q3,Colorectum
CA19-9 ★,16.686,Q2,Esophagus
CA19-9 ★,21.92,Q3,Esophagus
CA19-9 ★,17.39,Q2,Liver
CA19-9 ★,24.927500000000002,Q3,Liver
CA19-9 ★,16.689,Q2,Lung
CA19-9 ★,17.8625,Q3,Lung
CA19-9 ★,16.398,Q2,Normal
CA19-9 ★,16.602,Q3,Normal
CA19-9 ★,18.375,Q2,Ovary
CA19-9 ★,42.765,Q3,Ovary
CA19-9 ★,101.63,Q2,Pancreas
CA19-9 ★,316.3,Q3,Pancreas
CA19-9 ★,17.49,Q2,Stomach
CA19-9 ★,19.4925,Q3,Stomach
sHER2 ,5170.19,Q2,Breast
sHER2 ,6273.555,Q3,Breast
sHER2 ,4890.75,Q2,Colorectum
sHER2 ,6534.799999999999,Q3,Colorectum
sHER2 ,4136.42,Q2,Esophagus
sHER2 ,4950.14,Q3,Esophagus
sHER2 ,4779.395,Q2,Liver
sHER2 ,5983.3925,Q3,Liver
sHER2 ,4823.535,Q2,Lung
sHER2 ,5588.3325,Q3,Lung
sHER2 ,5478.5,Q2,Normal
sHER2 ,6456.07,Q3,Normal
sHER2 ,4593.075,Q2,Ovary
sHER2 ,5504.85,Q3,Ovary
sHER2 ,9184.31,Q2,Pancreas
sHER2 ,12690.17,Q3,Pancreas
sHER2 ,3901.25,Q2,Stomach
sHER2 ,4874.8150000000005,Q3,Stomach
Midkine ,293.58,Q2,Breast
Midkine ,426.08,Q3,Breast
Midkine ,438.115,Q2,Colorectum
Midkine ,691.8824999999999,Q3,Colorectum
Midkine ,308.12,Q2,Esophagus
Midkine ,488.85,Q3,Esophagus
Midkine ,352.11,Q2,Liver
Midkine ,521.9175,Q3,Liver
Midkine ,529.0,Q2,Lung
Midkine ,794.97,Q3,Lung
Midkine ,305.27,Q2,Normal
Midkine ,452.01,Q3,Normal
Midkine ,466.125,Q2,Ovary
Midkine ,678.55,Q3,Ovary
Midkine ,623.67,Q2,Pancreas
Midkine ,1061.6,Q3,Pancreas
Midkine ,317.42,Q2,Stomach
Midkine ,512.155,Q3,Stomach
